Precinct,Political Party,Count of Voters by Party
1907,,
,NO AFFILIATION,3
,REPUBLICAN,5
,DEMOCRATIC,107
,Count of Voters in 1907:,115
1908,,
,NO AFFILIATION,4
,REPUBLICAN,6
,GREEN,1
,DEMOCRATIC,107
,NO PARTY,1
,Count of Voters in 1908:,119
1909,,
,NO AFFILIATION,9
,REPUBLICAN,5
,NO PARTY,1
,DEMOCRATIC,138
,Count of Voters in 1909:,153
1910,,
,OTHER,1
,GREEN,1
,DEMOCRATIC,184
,NO AFFILIATION,10
,REPUBLICAN,8
,Count of Voters in 1910:,204
1911,,
,REPUBLICAN,4
,LIBERTARIAN,2
,NO AFFILIATION,7
,DEMOCRATIC,143
,Count of Voters in 1911:,156
1912,,
,REPUBLICAN,7
,NO AFFILIATION,6
,DEMOCRATIC,149
,GREEN,1
,Count of Voters in 1912:,163
1913,,
,NO AFFILIATION,4
,REPUBLICAN,5
,OTHER,1
,DEMOCRATIC,125
,Count of Voters in 1913:,135
1914,,
,REPUBLICAN,1
,OTHER,1
,DEMOCRATIC,58
,Count of Voters in 1914:,60
1915,,
,INDEPENDENT,1
,NO AFFILIATION,6
,DEMOCRATIC,112
,REPUBLICAN,6
,Count of Voters in 1915:,125
1916,,
,DEMOCRATIC,169
,REPUBLICAN,9
,NO AFFILIATION,8
,Count of Voters in 1916:,186
1917,,
,DEMOCRATIC,84
,REPUBLICAN,1
,NO AFFILIATION,3
,Count of Voters in 1917:,88
1918,,
,NO PARTY,1
,DEMOCRATIC,116
,REPUBLICAN,1
,NO AFFILIATION,1
,Count of Voters in 1918:,119
1919,,
,INDEPENDENT,1
,OTHER,1
,NO PARTY,2
,NO AFFILIATION,5
,DEMOCRATIC,87
,REPUBLICAN,3
,Count of Voters in 1919:,99
2001,,
,DEMOCRATIC,167
,LIBERTARIAN,1
,INDEPENDENT,1
,REPUBLICAN,9
,NO AFFILIATION,13
,Count of Voters in 2001:,191
2002,,
,REPUBLICAN,3
,NO AFFILIATION,3
,OTHER,1
,DEMOCRATIC,94
,Count of Voters in 2002:,101
2003,,
,REPUBLICAN,4
,NO AFFILIATION,10
,NO PARTY,1
,INDEPENDENT,2
,DEMOCRATIC,239
,LIBERTARIAN REPUBLICAN,1
,Count of Voters in 2003:,257
2004,,
,DEMOCRATIC,271
,NO AFFILIATION,2
,INDEPENDENT,2
,REPUBLICAN,8
,Count of Voters in 2004:,283
2005,,
,REPUBLICAN,2
,NO AFFILIATION,4
,DEMOCRATIC,89
,INDEPENDENCE,1
,Count of Voters in 2005:,96
2006,,
,NO PARTY,1
,NO AFFILIATION,9
,INDEPENDENT,1
,REPUBLICAN,6
,DEMOCRATIC,339
,CONSTITUTIONAL,1
,Count of Voters in 2006:,357
2007,,
,DEMOCRATIC,215
,INDEPENDENT,2
,SOCIAL DEMOCRAT,1
,NO AFFILIATION,9
,REPUBLICAN,18
,Count of Voters in 2007:,245
2008,,
,NO AFFILIATION,5
,DEMOCRATIC,56
,REPUBLICAN ,1
,GREEN,1
,UNKNOWN,1
,Count of Voters in 2008:,64
2009,,
,NO AFFILIATION,15
,INDEPENDENT,1
,REPUBLICAN,3
,DEMOCRATIC,116
,Count of Voters in 2009:,135
2010,,
,DEMOCRATIC,181
,NO AFFILIATION,6
,UNKNOWN,1
,LIBERTARIAN,1
,REPUBLICAN,8
,Count of Voters in 2010:,197
2011,,
,LIBERTARIAN,2
,REPUBLICAN,9
,NO AFFILIATION,15
,NO PARTY,2
,DEMOCRATIC,54
,OTHER,1
,Count of Voters in 2011:,83
2101,,
,NO AFFILIATION,31
,NON-PARTISAN,2
,LIBERTARIAN,1
,REPUBLICAN,45
,DEMOCRATIC,133
,INDEPENDENT,3
,Count of Voters in 2101:,215
2102,,
,DEMOCRATIC,135
,NO PARTY,1
,NON-PARTISAN,1
,NO AFFILIATION,12
,INDEPENDENT,2
,REPUBLICAN,64
,Count of Voters in 2102:,215
2103,,
,DEMOCRATIC,151
,GREEN,2
,NO AFFILIATION,15
,NON-PARTISAN,1
,REPUBLICAN,28
,Count of Voters in 2103:,197
2104,,
,LIBERTARIAN,1
,REPUBLICAN,24
2104,,
,NO AFFILIATION,8
,NON-PARTISAN,3
,GREEN,1
,INDEPENDENT,4
,DEMOCRATIC,76
,Count of Voters in 2104:,117
2105,,
,INDEPENDENT,6
,REPUBLICAN,105
,NO AFFILIATION,19
,NON-PARTISAN,1
,DEMOCRATIC,290
,Count of Voters in 2105:,421
2106,,
,INDEPENDENT,2
,OTHER,1
,DEMOCRATIC,97
,UNAFFILIATED,1
,NO AFFILIATION,20
,NON-PARTISAN,1
,LIBERTARIAN,2
,NONE,1
,REPUBLICAN,25
,NO PARTY,2
,Count of Voters in 2106:,152
2107,,
,INDEPENDENT,1
,REPUBLICAN,44
,NO AFFILIATION,25
,DEMOCRATIC,116
,LIBERTARIAN,1
,NONE,2
,NON-PARTISAN,1
,Count of Voters in 2107:,190
2108,,
,REPUBLICAN,29
,NO AFFILIATION,11
,DEMOCRATIC,101
,GREEN,1
,INDEPENDENT,2
,Count of Voters in 2108:,144
2109,,
,CONSTITUTIONAL,1
,INDEPENDENT,2
,REPUBLICAN,52
,NO AFFILIATION,18
,CONSUMER'S,1
,DEMOCRATIC,148
,LIBERTARIAN,1
,NO PARTY,1
,NON-PARTISAN,2
,Count of Voters in 2109:,226
2110,,
,NO AFFILIATION,15
,LIBERTARIAN,2
,DEMOCRATIC,115
,REPUBLICAN,32
,NO PARTY,1
,NON-PARTISAN,1
,INDEPENDENT,2
,Count of Voters in 2110:,168
2111,,
,INDEPENDENT,1
,NO PARTY,1
,DEMOCRATIC,153
,REPUBLICAN,33
,GREEN,1
,NON-PARTISAN,1
,NO AFFILIATION,17
,Count of Voters in 2111:,207
2112,,
,REPUBLICAN,30
,DEMOCRATIC,132
,INDEPENDENT,2
2112,,
,GREEN,2
,LIBERTARIAN,5
,NON-PARTISAN,2
,NO AFFILIATION,11
,Count of Voters in 2112:,184
2113,,
,NON-PARTISAN,4
,GREEN,2
,LIBERTARIAN,2
,NO AFFILIATION,15
,UNKNOWN,1
,DEMOCRATIC,151
,INDEPENDENT,2
,NO PARTY,2
,REPUBLICAN,50
,Count of Voters in 2113:,229
2114,,
,INDEPENDENT,2
,NO PARTY,1
,REPUBLICAN,40
,DEMOCRATIC,271
,NO AFFILIATION,31
,GREEN,3
,NON-PARTISAN,4
,Count of Voters in 2114:,352
2115,,
,NONE,1
,OTHER,1
,GREEN,1
,LIBERTARIAN,3
,NO AFFILIATION,19
,REPUBLICAN,59
,DEMOCRATIC,153
,Count of Voters in 2115:,237
2116,,
,NON-PARTISAN,1
,NO AFFILIATION,11
,REPUBLICAN,49
,DEMOCRATIC,108
,Count of Voters in 2116:,169
2117,,
,NO AFFILIATION,16
,NO PARTY,1
,NONE,1
,REPUBLICAN,40
,DEMOCRATIC,193
,INDEPENDENT,2
,Count of Voters in 2117:,253
2118,,
,NO PARTY,1
,INDEPENDENT,2
,REPUBLICAN,35
,DEMOCRATIC,144
,GREEN,3
,INDEPENDENCE,1
,NO AFFILIATION,17
,Count of Voters in 2118:,203
2119,,
,GREEN,2
,LIBERTARIAN,1
,NON-PARTISAN,1
,NO AFFILIATION,21
,REPUBLICAN,25
,DEMOCRATIC,153
,INDEPENDENT,2
,Count of Voters in 2119:,205
2120,,
,LIBERTARIAN,3
,REPUBLICAN,37
,NON-PARTISAN,1
,NO AFFILIATION,15
,NO PARTY,1
,DEMOCRATIC,125
,GREEN,1
,INDEPENDENT,1
,Count of Voters in 2120:,184
2121,,
,DEMOCRATIC,148
,INDEPENDENT,3
,NON-PARTISAN,1
,NO AFFILIATION,26
,LIBERTARIAN,1
,REPUBLICAN,64
,Count of Voters in 2121:,243
2122,,
,GREEN,1
,NO AFFILIATION,37
,DEMOCRATIC,255
,INDEPENDENCE,1
,INDEPENDENT,3
,OTHER,1
,REPUBLICAN,80
,Count of Voters in 2122:,378
2123,,
,INDEPENDENT,3
,DEMOCRATIC,300
,NONE,1
,CONSERVATIVE,1
,LIBERTARIAN,2
,REPUBLICAN,32
,NO AFFILIATION,34
,NO PARTY,2
,Count of Voters in 2123:,375
2124,,
,NO AFFILIATION,31
,NON-PARTISAN,2
,LIBERTARIAN,2
,REPUBLICAN,34
,DEMOCRATIC,466
,INDEPENDENT,1
,GREEN,1
,NONE,1
,OTHER,1
,Count of Voters in 2124:,539
2125,,
,INDEPENDENT,6
,REPUBLICAN,80
,NO AFFILIATION,32
,NON-PARTISAN,2
,DEMOCRATIC,198
,GREEN,1
,Count of Voters in 2125:,319
2126,,
,DEMOCRATIC,146
,INDEPENDENT,5
,GREEN,2
,LIBERTARIAN,3
,REPUBLICAN,62
,NO AFFILIATION,24
,NO PARTY,2
,Count of Voters in 2126:,244
2127,,
,INDEPENDENT,2
,REPUBLICAN,44
,NO AFFILIATION,21
,DEMOCRATIC,183
,LIBERTARIAN,3
,NO PARTY,1
,Count of Voters in 2127:,254
2128,,
,NO AFFILIATION,10
,REPUBLICAN,71
,GREEN,2
,DEMOCRATIC,217
,INDEPENDENT,2
,Count of Voters in 2128:,302
2129,,
,NO AFFILIATION,29
,DEMOCRATIC,218
,REPUBLICAN,87
,NON-PARTISAN,1
,UNKNOWN,1
,Count of Voters in 2129:,336
2130,,
,UNKNOWN,1
,DEMOCRATIC,252
,NO AFFILIATION,17
,REPUBLICAN,59
,INDEPENDENCE,1
,INDEPENDENT,6
,Count of Voters in 2130:,336
2131,,
,GREEN,1
,INDEPENDENT,3
,OTHER,1
,REPUBLICAN,76
,DEMOCRATIC,198
,LIBERTARIAN,1
,NO AFFILIATION,10
,NON-PARTISAN,1
,NO PARTY,1
,Count of Voters in 2131:,292
2132,,
,INDEPENDENT,1
,REPUBLICAN,66
,DEMOCRATIC,180
,NO PARTY,1
,UNKNOWN,1
,NO AFFILIATION,12
,Count of Voters in 2132:,261
2133,,
,NO AFFILIATION,23
,NON-PARTISAN,3
,NO PARTY,3
,GREEN,1
,DEMOCRATIC,377
,INDEPENDENT,4
,REPUBLICAN,103
,Count of Voters in 2133:,514
2134,,
,INDEPENDENT,4
,REPUBLICAN,127
,DEMOCRATIC,364
,NO PARTY,1
,LIBERTARIAN,1
,NO AFFILIATION,23
,Count of Voters in 2134:,520
2135,,
,NON-PARTISAN,2
,INDEPENDENT,2
,LIBERTARIAN,2
,NO AFFILIATION,15
,REPUBLICAN,55
,DEMOCRATIC,210
,Count of Voters in 2135:,286
2136,,
,NO AFFILIATION,16
,DEMOCRATIC,95
,INDEPENDENT,3
,REPUBLICAN,32
,Count of Voters in 2136:,146
2137,,
,LIBERTARIAN,1
,NO AFFILIATION,16
,GREEN,1
,NO PARTY,2
,REPUBLICAN,57
,DEMOCRATIC,150
,Count of Voters in 2137:,227
2138,,
,INDEPENDENT,5
,DEMOCRATIC,221
,NO AFFILIATION,10
,REPUBLICAN,69
,NON-PARTISAN,1
,Count of Voters in 2138:,306
2139,,
,UNKNOWN,2
,NO AFFILIATION,21
,NON-PARTISAN,1
,INDEPENDENT,2
,REPUBLICAN,71
,DEMOCRATIC,265
,NO PARTY,1
,Count of Voters in 2139:,363
2140,,
,LIBERTARIAN,3
,NO AFFILIATION,25
,REPUBLICAN,74
,DEMOCRATIC,220
,INDEPENDENT,4
,NO PARTY,1
,GREEN,1
,NON-PARTISAN,1
,OTHER,1
,BULL MOOSE,1
,Count of Voters in 2140:,331
2141,,
,DEMOCRATIC,254
,REPUBLICAN,98
,GREEN,1
,NON-PARTISAN,1
,INDEPENDENT,3
,NO AFFILIATION,15
,Count of Voters in 2141:,372
2142,,
,INDEPENDENT,4
,NONE,1
2142,,
,REPUBLICAN,69
,DEMOCRATIC,160
,LIBERTARIAN,1
,NON-PARTISAN,1
,NO AFFILIATION,13
,Count of Voters in 2142:,249
2143,,
,NO AFFILIATION,8
,DEMOCRATIC,170
,REPUBLICAN,74
,NON-PARTISAN,1
,INDEPENDENT,1
,Count of Voters in 2143:,254
2144,,
,GREEN,2
,DEMOCRATIC,192
,REPUBLICAN,116
,NO AFFILIATION,13
,INDEPENDENT,3
,LIBERTARIAN,1
,Count of Voters in 2144:,327
2145,,
,NO AFFILIATION,23
,DEMOCRATIC,302
,INDEPENDENT,7
,REPUBLICAN,81
,Count of Voters in 2145:,413
2201,,
,NO AFFILIATION,26
,DEMOCRATIC,475
,REPUBLICAN,15
,GREEN,3
,NO PARTY,1
,INDEPENDENT,1
,Count of Voters in 2201:,521
2202,,
,NON-PARTISAN,2
,REPUBLICAN,18
,UNKNOWN,1
,LIBERTARIAN,1
,NO AFFILIATION,24
,NO PARTY,1
,DEMOCRATIC,438
,Count of Voters in 2202:,485
2203,,
,INDEPENDENT,1
,NO AFFILIATION,17
,DEMOCRATIC,316
,REPUBLICAN,10
,SOCIALIST DEMOCRAT,1
,Count of Voters in 2203:,345
2204,,
,DEMOCRATIC,290
,NO PARTY,1
,NO AFFILIATION,13
,REPUBLICAN,12
,NON-PARTISAN,1
,Count of Voters in 2204:,317
2205,,
,INDEPENDENCE,1
,INDEPENDENT,3
,REPUBLICAN,13
,UNKNOWN,1
,LIBERTARIAN,2
,NO AFFILIATION,20
,GREEN,1
,DEMOCRATIC,327
,Count of Voters in 2205:,368
2206,,
,DEMOCRATIC,429
,NO PARTY,1
,NO AFFILIATION,30
,INDEPENDENT,3
,REPUBLICAN,10
,Count of Voters in 2206:,473
2207,,
,DEMOCRATIC,347
,NON-PARTISAN,1
,CONSTITUTIONAL,1
,INDEPENDENT,1
,GREEN,1
,NO PARTY,1
,NO AFFILIATION,14
,REPUBLICAN,16
,Count of Voters in 2207:,382
2208,,
,LIBERTARIAN,2
,NO AFFILIATION,14
,INDEPENDENT,1
,REPUBLICAN,7
,DEMOCRATIC,247
,Count of Voters in 2208:,271
2209,,
,REPUBLICAN,3
,NO AFFILIATION,4
,DEMOCRATIC,232
,INDEPENDENT,2
,GREEN,1
,Count of Voters in 2209:,242
2210,,
,DEMOCRATIC,290
,INDEPENDENCE,1
,REPUBLICAN,7
,GREEN,1
,OTHER,1
,INDEPENDENT,1
,NO AFFILIATION,15
,SOCIALIST PARTY USA,1
2210,,
,NON-PARTISAN,1
,Count of Voters in 2210:,318
2211,,
,GREEN,2
,LIBERTARIAN,1
,DEMOCRATIC,197
,INDEPENDENT,1
,REPUBLICAN,10
,NO AFFILIATION,11
,Count of Voters in 2211:,222
2212,,
,UNKNOWN,1
,NO PARTY,1
,INDEPENDENT,1
,REPUBLICAN,6
,CONSTITUTIONAL,1
,DEMOCRATIC,235
,NO AFFILIATION,5
,Count of Voters in 2212:,250
2213,,
,INDEPENDENT,2
,NO PARTY,1
,REPUBLICAN,3
,NO AFFILIATION,8
,LIBERTARIAN,1
,AMERICAN,1
,DEMOCRATIC,282
,Count of Voters in 2213:,298
2214,,
,DEMOCRATIC,328
,NO AFFILIATION,11
,NO PARTY,2
,INDEPENDENT,3
,REPUBLICAN,10
,Count of Voters in 2214:,354
2215,,
,REPUBLICAN,2
,DEMOCRATIC,291
,NO AFFILIATION,3
,Count of Voters in 2215:,296
2216,,
,DEMOCRATIC,229
,LIBERTARIAN,1
,NO AFFILIATION,13
,GREEN,1
,INDEPENDENT,1
,REPUBLICAN,6
,NO PARTY,1
,NON-PARTISAN,1
,Count of Voters in 2216:,253
2217,,
,INDEPENDENT,2
,NO AFFILIATION,8
,NO PARTY,2
,DEMOCRATIC,267
,REPUBLICAN,6
,GREEN,1
,Count of Voters in 2217:,286
2218,,
,INDEPENDENT,1
,NO PARTY,4
,REPUBLICAN,3
,DEMOCRATIC,288
,NO AFFILIATION,10
,Count of Voters in 2218:,306
2219,,
,GREEN,3
,DEMOCRATIC,299
,LIBERTARIAN,1
,REPUBLICAN,6
,INDEPENDENT,1
,NO AFFILIATION,9
,Count of Voters in 2219:,319
2220,,
,INDEPENDENT,1
,REPUBLICAN,3
,NO AFFILIATION,8
,DEMOCRATIC,215
,Count of Voters in 2220:,227
2221,,
,NO AFFILIATION,6
,NO PARTY,1
,REPUBLICAN,2
,DEMOCRATIC,271
,GREEN,1
,Count of Voters in 2221:,281
2222,,
,INDEPENDENT,4
,CONSTITUTIONAL,1
,UNKNOWN,1
,NO AFFILIATION,12
,DEMOCRATIC,279
,REFORM,1
,REPUBLICAN,5
,Count of Voters in 2222:,303
2223,,
,INDEPENDENT,2
,DEMOCRATIC,273
,NON-PARTISAN,1
,NO PARTY,1
,REPUBLICAN,10
,LIBERTARIAN,1
,NO AFFILIATION,14
,Count of Voters in 2223:,302
2224,,
,DEMOCRATIC,353
,REPUBLICAN,6
,NO AFFILIATION,16
,GREEN,1
,INDEPENDENT,3
,OTHER,1
,Count of Voters in 2224:,380
2225,,
,INDEPENDENT,2
,GREEN,1
,NO AFFILIATION,7
,DEMOCRATIC,200
,REPUBLICAN,3
,Count of Voters in 2225:,213
2226,,
,DEMOCRATIC,280
,LIBERTARIAN,1
,REPUBLICAN,8
,NO AFFILIATION,4
,INDEPENDENT DEMOCRAT,1
,Count of Voters in 2226:,294
2227,,
,DEMOCRATIC,340
,NO PARTY,2
,NO AFFILIATION,6
,REPUBLICAN,7
,Count of Voters in 2227:,355
2228,,
,INDEPENDENT,1
,DEMOCRATIC,280
,REPUBLICAN,8
,NO AFFILIATION,3
,Count of Voters in 2228:,292
2229,,
,INDEPENDENT,2
,REPUBLICAN,6
,NO AFFILIATION,5
,DEMOCRATIC,318
,OPEN,1
,Count of Voters in 2229:,332
2301,,
,REPUBLICAN,8
,DEMOCRATIC,79
,LIBERTARIAN,1
,NO AFFILIATION,3
,INDEPENDENT,1
,Count of Voters in 2301:,92
2302,,
,REPUBLICAN,10
,DEMOCRATIC,114
,OTHER,2
,NO AFFILIATION,9
,Count of Voters in 2302:,135
2303,,
,INDEPENDENT,2
,REPUBLICAN,2
,DEMOCRATIC,91
,NO AFFILIATION,6
,Count of Voters in 2303:,101
2304,,
,DEMOCRATIC,165
,NO AFFILIATION,7
,REPUBLICAN,26
,INDEPENDENT,1
,Count of Voters in 2304:,199
2305,,
,OTHER,1
,REPUBLICAN,19
,DEMOCRATIC,110
,NO AFFILIATION,3
,Count of Voters in 2305:,133
2306,,
,NO AFFILIATION,8
,LIBERTARIAN,2
,NO PARTY,1
,DEMOCRATIC,146
,REPUBLICAN,17
,Count of Voters in 2306:,174
2307,,
,NO AFFILIATION,8
,NO PARTY,1
,DEMOCRATIC,166
,REPUBLICAN,11
,Count of Voters in 2307:,186
2308,,
,NO AFFILIATION,6
,NO PARTY,1
,INDEPENDENT,1
,REPUBLICAN,29
,DEMOCRATIC,208
,Count of Voters in 2308:,245
2309,,
,DEMOCRATIC,205
,INDEPENDENT,2
,REPUBLICAN,43
,LIBERTARIAN,1
,NO AFFILIATION,13
,Count of Voters in 2309:,264
2310,,
,GREEN,1
,DEMOCRATIC,314
,INDEPENDENT,4
,NO AFFILIATION,14
,NO PARTY,1
,REPUBLICAN,63
,Count of Voters in 2310:,397
2311,,
,INDEPENDENT,1
,GREEN,1
,DEMOCRATIC,161
,NO AFFILIATION,14
,NO PARTY,2
,REPUBLICAN,12
,Count of Voters in 2311:,191
2312,,
,INDEPENDENT,1
,DEMOCRATIC,161
,NO AFFILIATION,8
,NO PARTY,1
,REPUBLICAN,9
,Count of Voters in 2312:,180
2313,,
,INDEPENDENT,2
,DEMOCRATIC,274
,LIBERTARIAN,2
,REPUBLICAN,40
,NO AFFILIATION,12
,Count of Voters in 2313:,330
2314,,
,DEMOCRATIC,150
,INDEPENDENT,2
,AMERICAN,1
,NON-PARTISAN,1
,NO AFFILIATION,12
,REPUBLICAN,57
,Count of Voters in 2314:,223
2315,,
,REPUBLICAN,21
,NO AFFILIATION,4
,DEMOCRATIC,83
,Count of Voters in 2315:,108
2316,,
,CONSUMER'S,1
,DEMOCRATIC,196
,NO AFFILIATION,6
,INDEPENDENT,2
,REPUBLICAN,4
,Count of Voters in 2316:,209
2317,,
,DEMOCRATIC,160
,OTHER,1
,REPUBLICAN,8
,NO AFFILIATION,6
,Count of Voters in 2317:,175
2318,,
,NO PARTY,1
,INDEPENDENT,1
,NEUTRAL,1
,REPUBLICAN,3
,NO AFFILIATION,4
,DEMOCRATIC,173
,Count of Voters in 2318:,183
2319,,
,DEMOCRATIC,153
,NO AFFILIATION,3
,REPUBLICAN,9
,ADARIAN,1
,Count of Voters in 2319:,166
2320,,
,NO PARTY,1
,REPUBLICAN,15
,NO AFFILIATION,5
,DEMOCRATIC,189
,Count of Voters in 2320:,210
2321,,
,NO AFFILIATION,4
,INDEPENDENT,1
,REPUBLICAN,8
,DEMOCRATIC,252
,Count of Voters in 2321:,265
2322,,
,REPUBLICAN,13
,NO AFFILIATION,3
,DEMOCRATIC,110
,Count of Voters in 2322:,126
2323,,
,NO AFFILIATION,1
,REPUBLICAN,8
2323,,
,DEMOCRATIC,77
,Count of Voters in 2323:,86
2401,,
,LIBERTARIAN,1
,NONE,1
,REPUBLICAN,17
,DEMOCRATIC,129
,NO AFFILIATION,15
,Count of Voters in 2401:,163
2402,,
,DEMOCRATIC,151
,NO AFFILIATION,16
,LIBERTARIAN,1
,REPUBLICAN,8
,Count of Voters in 2402:,176
2403,,
,REPUBLICAN,4
,DEMOCRATIC,210
,NO AFFILIATION,11
,Count of Voters in 2403:,225
2404,,
,DEMOCRATIC,168
,NO AFFILIATION,10
,REPUBLICAN,4
,LIBERTARIAN,1
,Count of Voters in 2404:,183
2405,,
,DEMOCRATIC,178
,GREEN,1
,LIBERTARIAN,2
,NO AFFILIATION,23
,REPUBLICAN,15
,NO PARTY,2
,Count of Voters in 2405:,221
2406,,
,INDEPENDENT,2
,NO AFFILIATION,20
,NO PARTY,1
,DEMOCRATIC,337
,INDEPENDENCE,1
,REPUBLICAN,10
,Count of Voters in 2406:,371
2407,,
,WILD,1
,NO PARTY,1
,REPUBLICAN,3
,DEMOCRATIC,210
,NO AFFILIATION,10
,UNKNOWN,1
,Count of Voters in 2407:,226
2408,,
,INDEPENDENT,2
,NONE,1
,REPUBLICAN,3
,DEMOCRATIC,172
,NO AFFILIATION,15
,Count of Voters in 2408:,193
2409,,
,GREEN,1
,REPUBLICAN,5
,INDEPENDENCE,1
,UNKNOWN,1
,DEMOCRATIC,155
,NO AFFILIATION,2
,Count of Voters in 2409:,165
2410,,
,NO PARTY,1
,INDEPENDENT,1
,NO AFFILIATION,9
,REPUBLICAN,9
,DEMOCRATIC,31
,Count of Voters in 2410:,51
2411,,
,INDEPENDENT,1
,REPUBLICAN,6
,NO AFFILIATION,11
,AMERICAN,1
,INDEPENDENT DEMOCRATIC,141
,Count of Voters in 2411:,160
2412,,
,REPUBLICAN,11
,UNKNOWN,1
,NO AFFILIATION,1
,DEMOCRATIC,197
,Count of Voters in 2412:,210
2413,,
,NO AFFILIATION,4
,REPUBLICAN,4
,DEMOCRATIC,178
,GREEN,1
,Count of Voters in 2413:,187
2414,,
,DEMOCRATIC,197
,NO AFFILIATION,3
,REPUBLICAN,5
,LIBERTARIAN,1
,Count of Voters in 2414:,206
2415,,
,DEMOCRATIC,145
,LIBERTARIAN,1
,NO AFFILIATION,3
,REPUBLICAN,4
,Count of Voters in 2415:,153
2416,,
,INDEPENDENT,1
,NO AFFILIATION,3
,DEMOCRATIC,108
,REPUBLICAN,1
,Count of Voters in 2416:,113
2417,,
,INDEPENDENCE,2
,NO AFFILIATION,7
,REPUBLICAN,3
,DEMOCRATIC,113
,Count of Voters in 2417:,125
2418,,
,NO PARTY,1
,DEMOCRATIC,23
,NO AFFILIATION,18
,REPUBLICAN,7
,Count of Voters in 2418:,49
2419,,
,INDEPENDENT,4
,NO PARTY,1
,REPUBLICAN,6
,NO AFFILIATION,9
,DEMOCRATIC,24
,Count of Voters in 2419:,44
2501,,
,INDEPENDENT,2
,UNKNOWN,1
,NO AFFILIATION,6
,DEMOCRATIC,102
,REPUBLICAN,45
,NO PARTY,1
,Count of Voters in 2501:,157
2502,,
,NO AFFILIATION,1
,REPUBLICAN,19
,DEMOCRATIC,72
,Count of Voters in 2502:,92
2503,,
,NONE,1
,REPUBLICAN,72
,DEMOCRATIC,106
,INDEPENDENT,1
,GREEN,1
2503,,
,NO AFFILIATION,7
,Count of Voters in 2503:,188
2504,,
,NO AFFILIATION,8
,GREEN,1
,INDEPENDENCE,1
,DEMOCRATIC,69
,INDEPENDENT,1
,REPUBLICAN,51
,Count of Voters in 2504:,131
2505,,
,REPUBLICAN,65
,DEMOCRATIC,124
,INDEPENDENT,2
,UNKNOWN,1
,NO AFFILIATION,11
,Count of Voters in 2505:,203
2506,,
,REPUBLICAN,47
,DEMOCRATIC,108
,INDEPENDENT,2
,LIBERTARIAN,2
,NO AFFILIATION,11
,Count of Voters in 2506:,170
2507,,
,LIBERTARIAN,1
,NO AFFILIATION,12
,REPUBLICAN,75
,DEMOCRATIC,87
,Count of Voters in 2507:,175
2508,,
,DEMOCRATIC,116
,REPUBLICAN,40
,INDEPENDENT,2
,NO AFFILIATION,5
,LIBERTARIAN ,1
,Count of Voters in 2508:,164
2509,,
,DEMOCRATIC,74
,NO AFFILIATION,4
,REPUBLICAN,14
,NO PARTY,1
,Count of Voters in 2509:,93
2510,,
,REPUBLICAN,59
,DEMOCRATIC,47
,LIBERTARIAN,1
,NO AFFILIATION,3
,Count of Voters in 2510:,110
2511,,
,DEMOCRATIC,80
,LIBERTARIAN,1
,NO AFFILIATION,5
,INDEPENDENT,3
,REPUBLICAN,44
,NO PARTY,1
,Count of Voters in 2511:,134
2512,,
,NO AFFILIATION,7
,INDEPENDENT,1
,REPUBLICAN,57
,DEMOCRATIC,96
,Count of Voters in 2512:,161
2513,,
,DEMOCRATIC,94
,NO AFFILIATION,4
,REPUBLICAN,5
,NO PARTY,1
,NON-PARTISAN,1
,Count of Voters in 2513:,105
2514,,
,NO AFFILIATION,2
,REPUBLICAN,2
,DEMOCRATIC,51
,Count of Voters in 2514:,55
2515,,
,DEMOCRATIC,56
,INDEPENDENT,2
,NO AFFILIATION,3
,REPUBLICAN,10
,Count of Voters in 2515:,71
2516,,
,GREEN,1
,DEMOCRATIC,63
,NO AFFILIATION,3
,REPUBLICAN,5
,Count of Voters in 2516:,72
2517,,
,REPUBLICAN,8
,UNDECIDED,1
,DEMOCRATIC,53
,LIBERTARIAN,1
,NO AFFILIATION,6
,INDEPENDENT,1
,Count of Voters in 2517:,70
2518,,
,DEMOCRATIC,80
,NO AFFILIATION,6
,REPUBLICAN,14
,NO PARTY,2
,Count of Voters in 2518:,102
2519,,
,NO AFFILIATION,7
,NO PARTY,1
,REPUBLICAN,8
,DEMOCRATIC,75
,Count of Voters in 2519:,91
2520,,
,DEMOCRATIC,49
,NO AFFILIATION,9
,REPUBLICAN,6
,Count of Voters in 2520:,64
2521,,
,REPUBLICAN,9
,NO AFFILIATION,3
,DEMOCRATIC,70
,LIBERTARIAN,1
,NO PARTY,1
,OTHER,1
,Count of Voters in 2521:,85
2522,,
,NO AFFILIATION,6
,REPUBLICAN,40
,DEMOCRATIC,79
,NO PARTY,2
,Count of Voters in 2522:,127
2523,,
,DEMOCRATIC,79
,NO AFFILIATION,6
,INDEPENDENT,4
,REPUBLICAN,31
,Count of Voters in 2523:,120
2524,,
,INDEPENDENT,3
,REPUBLICAN,28
,LIBERTARIAN,1
,NO AFFILIATION,5
,UNKNOWN,1
,DEMOCRATIC,78
,Count of Voters in 2524:,116
2601,,
,LIBERTARIAN,2
,DEMOCRATIC,161
,INDEPENDENT,2
,REPUBLICAN,43
2601,,
,NO AFFILIATION,5
,Count of Voters in 2601:,213
2602,,
,DEMOCRATIC,211
,LIBERTARIAN,1
,REPUBLICAN,75
,NO AFFILIATION,6
,Count of Voters in 2602:,293
2603,,
,DEMOCRATIC,157
